CST_STD_POLL_ID,CST_POLLUTANT_ID,CST_CAS_NO,CST_POLLUTANT_NAME,CST_STD_POLLUTANT_NAME,ECHO_PARAMETER_DESC,ECHO_POLLUTANT_CODE
583,583,55185,nitrosodiethylamine,nitrosodiethylamine,,
478,478,930552,nitrosopyrrolidine,nitrosopyrrolidine,,
640,640,62759,n-nitrosodimethylamine,n-nitrosodimethylamine,,
265,265,621647,n-nitrosodi-n-propylamine,n-nitrosodi-n-propylamine,,
773,773,86306,n-nitrosodiphenylamine,n-nitrosodiphenylamine,,
431,431,84852153,nonylphenol,nonylphenol,,
410,410,56382,parathion,parathion,,
281,281,608935,pentachlorobenzene,pentachlorobenzene,,
20,20,87865,pentachlorophenol,pentachlorophenol,,
258,258,,pH (acidity/alkalinity),pH (acidity/alkalinity),,
657,657,108952,phenol,phenol,,
143,143,1336363,polychlorinated biphenyls (pcbs),polychlorinated biphenyls (pcbs),,
144,144,129000,pyrene,pyrene,,
46,46,13982636,radium 226,radium 226,,
658,658,7782492,selenium,selenium,,
13,13,7440224,silver,silver,,
41,387,,strontium-90,strontium 90,,
896,75,14808798,sulfates,sulfate,,
606,606,,sulfide,sulfide,,
417,417,,temperature,temperature,,
647,647,127184,tetrachloroethylene,tetrachloroethylene,,
403,403,7440280,thallium,thallium,,
648,648,108883,toluene,toluene,,
1321,1321,,total ammonia nitrogen,total ammonia nitrogen,,
418,418,,total dissolved solids,total dissolved solids,,
961,961,,total nitrogen,total nitrogen,,
152,152,,total phosphorus,total phosphorus,,
132,132,8001352,toxaphene,toxaphene,,
45,45,156605,"trans-1,2-dichloroethylene","trans-1,2-dichloroethylene",,
154,154,688733,tributyltin (tbt),tributyltin (tbt),,
197,197,79016,trichloroethylene,trichloroethylene,,
292,292,,turbidity,turbidity,,
649,649,75014,vinyl chloride,vinyl chloride,,
650,650,7440666,zinc,zinc,,
